config_id,chunk_size,embedding,vector_db,llm,query_id,rouge1,rouge2,rougeL,bleu,retrieval_relevance,answer_relevance,latency_seconds
1.0,256.0,minilm,faiss,tinyllama,4.5,0.0725,0.008,0.0382,0.0009,0.4799,0.2687,4.588
2.0,256.0,minilm,faiss,phi2,4.5,0.3132,0.0542,0.156,0.0138,0.4799,0.8058,4.386
3.0,256.0,minilm,chroma,tinyllama,4.5,0.0725,0.008,0.0382,0.0009,0.4799,0.2687,4.695
4.0,256.0,minilm,chroma,phi2,4.5,0.3132,0.0542,0.156,0.0138,0.4799,0.8058,4.316
5.0,256.0,bge,faiss,tinyllama,4.5,0.0825,0.0166,0.0464,0.0035,0.7562,0.6237,5.479
6.0,256.0,bge,faiss,phi2,4.5,0.2694,0.0403,0.1445,0.0126,0.7562,0.8999,4.02
7.0,256.0,bge,chroma,tinyllama,4.5,0.0825,0.0166,0.0464,0.0035,0.7562,0.6237,5.383
8.0,256.0,bge,chroma,phi2,4.5,0.2694,0.0403,0.1445,0.0126,0.7562,0.8999,3.991
9.0,512.0,minilm,faiss,tinyllama,4.5,0.1942,0.0302,0.0937,0.0078,0.4167,0.4732,4.951
10.0,512.0,minilm,faiss,phi2,4.5,0.3142,0.0663,0.1708,0.0221,0.4167,0.7337,6.867
11.0,512.0,minilm,chroma,tinyllama,4.5,0.1942,0.0302,0.0937,0.0078,0.4167,0.4732,4.953
12.0,512.0,minilm,chroma,phi2,4.5,0.3142,0.0663,0.1708,0.0221,0.4167,0.7337,6.848
13.0,512.0,bge,faiss,tinyllama,4.5,0.2068,0.0429,0.1005,0.0067,0.7381,0.7285,5.996
14.0,512.0,bge,faiss,phi2,4.5,0.2986,0.0535,0.1578,0.0158,0.7381,0.8911,5.742
15.0,512.0,bge,chroma,tinyllama,4.5,0.2068,0.0429,0.1005,0.0067,0.7379,0.7285,6.013
16.0,512.0,bge,chroma,phi2,4.5,0.3009,0.0535,0.1577,0.0157,0.7379,0.8958,5.037
17.0,1024.0,minilm,faiss,tinyllama,4.5,0.171,0.0273,0.0843,0.0079,0.3866,0.3709,5.485
18.0,1024.0,minilm,faiss,phi2,4.5,0.3253,0.074,0.1762,0.0208,0.3866,0.7116,5.592
19.0,1024.0,minilm,chroma,tinyllama,4.5,0.171,0.0273,0.0843,0.0079,0.3863,0.3709,5.455
20.0,1024.0,minilm,chroma,phi2,4.5,0.3253,0.074,0.1762,0.0208,0.3863,0.7116,5.637
21.0,1024.0,bge,faiss,tinyllama,4.5,0.1019,0.0202,0.0539,0.0102,0.7325,0.6334,6.822
22.0,1024.0,bge,faiss,phi2,4.5,0.3541,0.0804,0.1819,0.026,0.7325,0.8828,5.919
23.0,1024.0,bge,chroma,tinyllama,4.5,0.1019,0.0202,0.0539,0.0102,0.7325,0.6334,6.826
24.0,1024.0,bge,chroma,phi2,4.5,0.3541,0.0804,0.1819,0.026,0.7325,0.8828,5.917
